,Rsoil,RsoilMOD,,,,,
261,3.04901,3.768231134,,,,,
262,3.096063714,3.801007501,,,,,
263,3.015411147,3.803238123,,,,,
264,3.0272246,3.806388394,,,,,
265,3.073240029,3.580481306,,,,,
266,3.106252794,3.658657117,,,,,
267,3.1700744,3.791564471,,,,,
268,3.322644882,3.790915891,,,,,
269,3.405638118,3.737787015,,,,,
270,3.2746566,3.756163316,,,,,
271,3.199085286,3.742851686,,,,,
272,3.335878353,3.777643372,,,,,
273,3.5105472,3.784221802,,,,,
274,3.458894571,3.805137729,,,,,
275,3.167167882,3.807086522,,,,,
276,3.198652,3.775454141,,,,,
277,3.588325429,3.76881025,,,,,
278,3.568834971,3.779617452,,,,,
279,3.630595,3.757792793,,,,,
280,3.665346829,3.573323914,,,,,
281,3.619566971,3.724817561,,,,,
282,3.637892,3.805972258,,,,,
283,3.743951143,3.70045196,,,,,
284,2.467678286,2.333285478,,,,,
285,1.892209941,0.498927912,,,,,
286,1.876156286,1.273986492,,,,,
287,2.177870914,1.85274454,,,,,
288,2.419058088,2.002128819,,,,,
289,2.421575771,2.116801515,,,,,
290,2.412902941,2.22367624,,,,,
291,2.48707,2.304893634,,,,,
292,2.688748,2.353933581,,,,,
293,2.478183143,2.401704279,,,,,
294,2.472671412,2.437424606,,,,,
295,2.469329286,2.466044672,,,,,
296,2.251868371,2.447491664,,,,,
297,1.982106824,2.223231665,,,,,
298,2.117201371,2.066553398,,,,,
299,2.120911943,1.963415585,,,,,
300,2.202758971,1.867007554,,,,,
301,2.29426113,2.29903818,,,,,
302,2.386117217,2.435462307,,,,,
303,2.414797294,2.335704794,,,,,
304,2.425491286,2.52295797,,,,,
305,2.562923743,2.543082977,,,,,
306,2.543954314,2.518444384,,,,,
307,2.552508176,2.556003238,,,,,
308,2.631938429,2.605270114,,,,,
309,2.701959857,2.625835927,,,,,
310,2.778810529,2.593629369,,,,,
311,2.755638314,2.700854407,,,,,
312,2.560133941,2.734447431,,,,,
313,2.504409114,2.535639898,,,,,
314,2.589250829,2.758295663,,,,,
315,2.730648286,2.77389569,,,,,
316,2.805704941,2.764684852,,,,,
317,2.865443371,2.761367255,,,,,
318,2.936255029,2.733169418,,,,,
319,2.993939529,2.752910663,,,,,
320,3.015178657,2.794918687,,,,,
321,3.120176086,2.785467272,,,,,
322,2.997904657,2.796541446,,,,,
323,3.173081353,2.813734929,,,,,
324,3.250112857,2.848448085,,,,,
325,3.254317294,2.778871529,,,,,
326,3.269950857,2.783721728,,,,,
327,3.286770571,2.795840436,,,,,
328,3.326969235,2.794032241,,,,,
329,3.311076294,2.857250768,,,,,
330,3.334102514,2.766952306,,,,,
331,3.316954,2.409204519,,,,,
332,3.214586,2.76740591,,,,,
333,3.195685057,2.954827831,,,,,
334,3.355321057,2.923692829,,,,,
335,3.484142971,2.974911508,,,,,
336,3.326982676,2.994357016,,,,,
337,3.422209943,3.018183875,,,,,
338,3.44332,2.986335636,,,,,
339,3.441090429,2.990482055,,,,,
340,3.413709,3.008473841,,,,,
341,3.293444118,3.043634361,,,,,
342,3.107709943,3.045755866,,,,,
343,3.206579429,3.085139831,,,,,
